Emil;19;M;0.5;136;0.3;10000;0.6
Drulle;21;M;0.1;110;0.8;40032;0.7
Lisa;55;F;0.0;99;0.1;124;0.7
Frank;54;M;0.4;121;0.2;543789;1
Chris;22;M;1.0;101;0.0;47829;0.5
Rogerina;90;F;0.2;91;0.8;112221;0.9
Maria;25;F;0.6;105;0.4;32;0.8
Alex;30;M;0.3;112;0.7;34058;0.6
Sofia;35;F;0.8;98;0.6;3412;0.5
Max;28;M;0.2;120;0.5;939;0.9
Emma;23;F;0.4;107;0.3;8765;0.7
Lucas;31;M;0.7;115;0.6;1012;0.7
Isabella;27;F;0.9;103;0.7;12322;0.9
Oscar;29;M;0.5;118;0.4;43004000;0.8
Julia;26;F;0.3;110;0.2;98;0.6
Liam;24;M;0.6;105;0.6;3500;0.8
Ava;28;F;0.6;97;0.8;75000;0.7
Mia;25;F;0.4;103;0.5;48000;0.8
Harper;27;F;0.7;101;0.6;36000;0.8
Evelyn;29;F;0.3;98;0.9;58000;0.7
Camila;26;F;0.9;100;0.7;42000;0.8
Olivia;24;F;0.6;105;0.8;62000;0.9
Amelia;31;F;0.7;97;0.6;85000;0.8
